kod,vyucujici,role,uci_v_zs,komentaru,od_data,do_data,plus,minus,souhrn,rozpor
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,1,9,18.02.2024,15.02.2026,"Strukturovaný a přehledný výklad, kvalitně předává sylabus|Rozebírá věci do detailu a klade otázky testující porozumění|Je znát hloubka znalostí, přednáška působí poutavě|Hodnocení u zkoušky bylo podle připomínky z roku 2024 férové a důkladné","Přetahuje konec přednášek|Tempo je pro studenty mimo obor umělé inteligence obtížně sledovatelné|Připomínka z roku 2026 popisuje ponižující průběh zkoušky včetně výroku, že studentka na to nemá hlavu|U zkoušky nestačí povrchní znalost, zdánlivý detail může rozhodnout","Silný a dobře strukturovaný přednášející, ale zkouška je náročná na detail. Pokud nejdeš z jádra oboru, počítej s rychlým tempem.","Většina připomínek je pochvalná, jedna z ledna 2026 od studentky bioinformatiky popisuje nezvladatelné tempo a velmi nepříjemnou zkoušku; pod stejným vyučujícím visí i jeho vlastní reakce, která ten popis odmítá."
NAIL070,"prof. RNDr. Roman Barták, Ph.D.",přednáška,0,1,05.06.2025,05.06.2025,"I nezajímavá témata podá zajímavě, má výborné příklady a nerušivé odkazy na filmy",,"Jediná připomínka, kladná: vyzdvihuje schopnost udělat i suchá témata poslouchatelnými.",
NAIL104,"Mgr. Marta Vomlelová, Ph.D.",přednáška,1,1,06.01.2026,06.01.2026,"Věnuje velké úsilí tomu, aby téma vysvětlila srozumitelně|Chodí složité věci vysvětlit ke každému studentovi individuálně, kdykoli se někdo zeptá",,"Jediná připomínka, z roku 2026 a velmi kladná: hlavním plusem je individuální přístup při dotazech.",
NAIL107,"RNDr. František Mráz, CSc.",cvičení,0,1,18.06.2024,18.06.2024,,Pravidelně chodil na cvičení pozdě,"Jediná připomínka, a čistě kritická: vytýká nedochvilnost.",
NAIL107,"RNDr. František Mráz, CSc.",přednáška,0,3,18.06.2024,18.06.2025,"Umí složité myšlenky vysvětlit z pohledu studenta, který je vidí poprvé|Zůstává po hodině a odpovídá na dotazy|Přednášky prokládá zajímavostmi a zapojuje studenty do vyprávěného příběhu|Vstřícný a ochotný","Zřídkakdy přišel na přednášku včas|Jedna připomínka vnímá zkoušku jako zaujatou proti bioinformatikům, kterým kladl více otázek než ostatním","Dvě ze tří připomínek vyučujícího nadšeně chválí za vysvětlování a vstřícnost, jedna vytýká nedochvilnost a nerovný přístup u zkoušky.",
NAIL116,"RNDr. František Mráz, CSc.",cvičení,1,1,09.02.2025,09.02.2025,"Nápomocný, vstřícně hodnotí domácí úlohy a projekty",,"Jediná připomínka, kladná a velmi stručná, o průběhu cvičení nic bližšího neříká.",
NAIL116,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,1,1,09.02.2025,09.02.2025,Nápomocná,,"Jediná připomínka, dvouslovná a kladná, o výuce nevypovídá prakticky nic.",
NDBI023,"RNDr. František Mráz, CSc.",cvičení,0,3,13.06.2023,05.06.2025,"Interaktivní cvičení s možností prezentovat vlastní řešení před ostatními a diskutovat o něm|Vysvětluje všechny kroky a působí přátelsky|Praktické vedení, člověk se nenudí a látku si sám vyzkouší",,"Tři kladné připomínky z let 2023 až 2025, shodně oceňují praktickou a interaktivní formu cvičení.",
NDBI023,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,0,1,30.05.2025,30.05.2025,Učivo vysvětleno srozumitelně a přednášky byly docela zábavné,,"Jediná připomínka, kladná a stručná.",
NMAI073,"Bc. Josef Tkadlec, Ph.D.",cvičení,1,7,09.01.2025,13.02.2026,"Na začátku cvičení zopakuje teorii z přednášky a teprve pak jde na příklady|Složité věci vysvětlí srozumitelně a nebojí se přiznat vlastní chybu na tabuli|Trpělivý, ochotný látku vysvětlit i individuálně|Domácí úkoly a průběžné testy dobře navazují na cvičení, zápočet není těžké získat",Jedna připomínka z roku 2025 nečekala podmínky zápočtu ve formě dvou testů a preferovala by domácí úkoly,"Sedm připomínek z let 2025 a 2026, prakticky bez výhrad; cvičení studenti řadí mezi nejlepší za celé studium.","Připomínka z roku 2025 zmiňuje jako podmínku zápočtu dva testy, novější z roku 2026 už mluví o domácích úkolech i průběžných testech, takže se podmínky patrně změnily."
NMAI073,"Mgr. Václav Rozhoň, Ph.D.",přednáška,1,1,15.02.2026,15.02.2026,Zápal pro vysvětlování intuitivním způsobem|Vizualizace a doprovodné programy k látce|Dobrá diskuse u ústní zkoušky,Tempo přednášek je hodně pomalé,"Jediná připomínka, z roku 2026: intuitivní výklad s vizualizacemi, ale velmi pomalé tempo.",
NMAI073,"doc. Mgr. Robert Šámal, Ph.D.",cvičení,0,2,17.02.2024,18.02.2024,"Trpělivý, věnuje se opravdu všem a má nachystané hezké úlohy","Pomalé opravování úkolů, které nezrychlila ani přidělená výpomoc","Dvě připomínky z roku 2024: vedení cvičení je hodnoceno dobře, jedinou výhradou je dlouhé opravování úkolů.",
NMAI073,"doc. Mgr. Robert Šámal, Ph.D.",přednáška,0,8,05.02.2024,08.02.2026,"Zajímavý a poutavý výklad, ukazuje praktická využití poznatků|Nahrávání přednášek studenti opakovaně vyzdvihují jako záchranu|Možnost taháku nebo formula sheetu u zkoušky|Hlídá, aby všichni rozuměli, než postoupí dál","Nesystematické a hůře čitelné psaní na tabuli|Nedokončená skripta, důkazy odkázané do lecture notes, kde ale nebyly|Podmínky zkoušky byly upřesněny až na začátku zkouškového a zkouška vyžadovala důkazy na přednášce nepříliš probrané|Struktura některých přednášek působí chaoticky, těžko se z ní dělají poznámky","Obsahově silný přednášející s nahrávkami a vstřícným formátem zkoušky, opakovaně mu ale studenti vytýkají chaotickou tabuli a neúplné skriptum.",
NMSA331,Mgr. Hedvika Ranošová,cvičení,1,1,15.02.2026,15.02.2026,,"Na začátku cvičení chybělo shrnutí látky|V druhé polovině semestru se předvyplněné cvičení v R jen rychle prolétlo a následovala samostatná práce, kterou si student stejně musel projít znovu a pomaleji","Jediná připomínka, z roku 2026 a kritická: vytýká chybějící úvodní shrnutí a příliš rychlé procházení předpřipravených cvičení v R.",
NMSA331,"doc. Ing. Marek Omelka, Ph.D.",cvičení,1,1,08.02.2025,08.02.2025,"Látku vždy dokázal vysvětlit a doplnil i detaily, které se nestihly na přednášce|Užitečná zpětná vazba k domácím úkolům, která pomohla věci zlepšit",Dlouhá doba opravování obou domácích úkolů i zápočtového testu,"Jediná připomínka, převážně kladná; jedinou výhradou je pomalé opravování.",
NMSA331,"prof. RNDr. Arnošt Komárek, Ph.D.",přednáška,1,1,08.01.2025,08.01.2025,"Zapálený a srozumitelný výklad s příběhy i vtípky|Chodit na přednášky se vyplatí, alternativou jsou dvousetstránková skripta|Vypsal vánoční předtermín a u zkoušky byl velmi férový",,"Jediná připomínka, výrazně kladná, bez podstatných výhrad.",
NPFL138,"RNDr. Milan Straka, Ph.D.",cvičení,0,6,04.06.2025,10.09.2025,"Na cvičeních se rozebírají výsledky domácích úloh a soutěží a zadávají nové, formát i obsah studenti chválí|Neukazuje jen výsledné řešení, ale i co všechno se dalo zkusit a jak to dopadlo|Rychle a věcně radí s chybami v úkolech|Ochotný posunout deadline, pokud student uvede důvod",,Šest jednoznačně kladných připomínek; cvičení jsou připravena mimořádně pečlivě a vyučující je velmi vstřícný. U tří připomínek chybí datum.,
NPFL138,"RNDr. Milan Straka, Ph.D.",přednáška,0,14,29.05.2024,11.09.2025,"Energický a poutavý přednes, přednáška je podle studentů zážitek|Kurz je odborně i didakticky výborně postavený, úlohy a soutěže látku prakticky procvičí|Obsah drží aktuální a přímo použitelný v reálných datových projektech|Po přednášce věnuje i hodiny konzultacím a reaguje na Piazze","Domácí úkoly a soutěže zaberou hodně času, podle jedné připomínky se kurz dá kombinovat jen s velmi lehkými předměty|Tempo je občas příliš rychlé kvůli množství látky, které se musí stihnout","Nejlépe hodnocená přednáška v celém vzorku, napříč obory i ročníky. Počítej ale s velkou časovou zátěží úkolů a rychlým tempem. U tří připomínek chybí datum.",
NPFL139,"RNDr. Milan Straka, Ph.D.",cvičení,0,2,14.09.2024,05.06.2025,"Nadšený, vždy ochotný odpovědět na dotaz a pomoci s úlohami|Cvičení připravena bravurně, ukazuje i neúspěšné pokusy, nejen hotové řešení",,"Dvě kladné připomínky, jedna z nich mimořádně nadšená.",
NPFL139,"RNDr. Milan Straka, Ph.D.",přednáška,0,2,28.06.2024,05.06.2025,"Příjemný a vstřícný, studenti doporučují zapsat si od něj cokoli|Zodpoví libovolný dotaz a drží přednášky aktuální i u rychle se měnícího tématu",,"Dvě kladné připomínky, obě spíše obecné a bez výhrad.",
NPFL147,"Mgr. Jindřich Helcl, Ph.D.",cvičení,1,3,15.01.2026,15.02.2026,,"Opravování úloh trvá týdny až měsíce, první úloha byla opravena dva měsíce po termínu a druhá až na konci zkouškového|Hodnocení je jen bodové, bez zdůvodnění a bez zveřejněného správného řešení|Student nemá v průběhu semestru žádný odhad své známky|Jedna připomínka označuje jeho podíl na cvičení za omezený pouze na opravování úloh","Všechny tři připomínky jsou z roku 2026 a kritické, shodně kvůli velmi pomalému a neprůhlednému opravování úloh. Tady je kritika jednoznačná.",
NPFL147,"doc. RNDr. Pavel Pecina, Ph.D.",cvičení,1,2,14.02.2026,15.02.2026,,"Kvízy ze cvičení se dají dělat na dálku a mají slovní vysvětlení, takže je podle jedné připomínky účast zbytečná|Nabízená konzultace zůstává nevyužitá|Cvičení je těžké sledovat a pochopit|Dlouhé opravování úloh","Dvě připomínky z roku 2026, obě kritické: cvičení je vnímáno jako nadbytečné a špatně srozumitelné.",
NPFL147,"doc. RNDr. Pavel Pecina, Ph.D.",přednáška,1,2,14.02.2026,15.02.2026,"Velmi ochotný, milý a často i zábavný","Projev na přednášce je hrozně monotónní|Podle druhé připomínky by mohl být lépe připraven a víc vysvětlovat proč, místo čtení vzorců ze slidů","Dvě připomínky z roku 2026: lidsky vstřícný vyučující, ale přednes je monotónní a podle jednoho studenta i málo hluboký.",
NTIN066,"Mgr. Martin Mareš, Ph.D.",přednáška,0,5,13.01.2024,18.02.2024,"Famózní a srozumitelný výklad, u kterého není problém udržet pozornost|Kvalitní záznamy přednášek, které jde přehrát opakovaně|Výstižná a pochopitelná skripta s pomocnými komentáři|Férové a přiměřené podmínky u zkoušky",,"Pět připomínek z roku 2024, všechny nadšené; jeho záznamy a skripta zmiňují jako referenční materiál i studenti hodnotící jiné vyučující téhož předmětu.",
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,1,6,13.02.2024,15.02.2026,"Dobře připravené materiály a práce ve skupinkách|Komentáře k odevzdaným úkolům včetně návrhů na vylepšení, opravováno rychle a ne příliš přísně|Vstřícný a promptní v komunikaci, vyšel vstříc i s odevzdáním po termínu|Zajímavé úkoly, které nejsou čistě teoretické, obzvlášť ty experimentální","Špatné rozvržení času, na konci cvičení se zbytek řešení jen rychle prolétne|Když skupinka stagnuje, nechá ji příliš dlouho bez nápovědy a řešení nepředvede na tabuli|Výklad působí místy chaoticky a ledabyle, zanedbává konstanty|Náhodné dělení do skupinek nevyhovuje všem, pasivnější studenti si z něj málo odnesou","Vstřícný cvičící s dobrými materiály a rychlou zpětnou vazbou, opakovaně mu ale studenti vytýkají hospodaření s časem a to, že stagnující skupinky nechává dlouho bez řešení.","Připomínky z let 2024 a 2025 chválí shrnutí přednášky a průběžné nápovědy, dvě z roku 2026 naopak kritizují chaotický výklad a špatné rozvržení času."
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,1,10,12.01.2026,15.02.2026,"Srozumitelný a reaktivní přednes, v tématu se dobře orientuje|Livestream i nahrávky přednášek a hodně studijních materiálů|Předem oznámený seznam otázek ke zkoušce|U zkoušky férový, předmět jako celek vede dobře","Nahrávky často selhávají, chybí zvuk nebo se záznam vůbec neuloží, a bez nich jsou slidy na učení nedostatečné|Struktura některých přednášek je chaotická a špatně se z ní dělají poznámky|Mávání rukama nad složitějšími analýzami a zanedbávání konstant ztěžuje pochopení tomu, kdo látku vidí poprvé|Část studentů se nakonec učila ze záznamů dr. Mareše","Deset připomínek, všechny ze zimy 2026: přednáší srozumitelně a dává hodně materiálů, ale technická kvalita nahrávek a struktura některých přednášek vázne.",
NTIN066,Mgr. Petr Chmel,cvičení,1,7,25.01.2024,06.02.2026,"Dělení do skupinek s pravidelným obcházením a kontrolou, že žádná skupina neujíždí|Aktivně si vyžaduje zpětnou vazbu na formát cvičení a snaží se zlepšovat|Zveřejňuje zadání i řešení cvičení na webu, což pomáhá při absenci i při učení na zkoušku|Rychlé a ne zbytečně pedantské opravování úkolů",Jedna připomínka z roku 2024 vytýká příliš tichý výklad a doporučuje menší nebo plnější učebnu,"Sedm připomínek z let 2024 až 2026, prakticky bez výhrad; cvičení jsou živá, dobře organizovaná a studenti je opakovaně řadí mezi nejlepší.",
NTIN066,"RNDr. David Mareček, Ph.D.",cvičení,0,1,27.06.2024,27.06.2024,"Aktivně vybízí k dotazům a hlídá, že všichni stíhají|Dává trefné nápovědy, když studenti uvíznou|Podrobná a včasná zpětná vazba k domácím úkolům, která umožňuje opravu",,"Jediná připomínka, kladná, k prakticky vedeným cvičením s důrazem na věty a důkazy.",
NTIN066,"RNDr. Jiří Fink, Ph.D.",cvičení,1,5,13.01.2024,22.01.2026,"Cvičení navazuje na přednášku a doplňuje praktické využití a kontext nad rámec povinného|Rychlá a dobrá zpětná vazba k úkolům, úkoly dobře ohodnocené|Je znát, že jde o skutečného odborníka","Jedna připomínka z roku 2024 popisuje prostoje a dlouhé ticho, kvůli kterým na cvičení přestala chodit|Cvičení je poněkud přednáškové, byť to u tohoto předmětu podle připomínky nevadí","Novější připomínky jsou výrazně kladné, cvičení dobře doplňuje přednášku o kontext a praxi.","Připomínka z ledna 2024 kritizuje prostoje a zbytečné úvodní kázání o opisování, dvě z ledna 2026 naopak cvičení hodnotí jako velmi povedené."
NTIN066,"RNDr. Jiří Fink, Ph.D.",přednáška,1,3,29.01.2025,16.02.2025,"Zveřejněné všechny možné kombinace zkouškových otázek jsou oceňovány jako transparentní|Přednášel obsahově podobně jako dr. Mareš, takže šlo vyjít z jeho poznámek a nahrávek","Zkoušení je vnímáno jako slovíčkaření a hledání toho, co student neumí; otázky jsou vágní a hloubka požadavků nejasná|Vlastní materiály jsou jen prezentace, které na učení nestačí, a sám odkazuje na přednášky jiných vyučujících|Přednášky se nenahrávají|Nekomunikuje se studenty, například o tom, zda vypíše termíny v letním semestru","Tři připomínky z roku 2025, převážně kritické, hlavně kvůli zkoušce a nedostatečným vlastním materiálům; jediné výrazné plus je zveřejněný seznam otázek.",
NTIN066,"doc. Mgr. Petr Gregor, Ph.D.",přednáška,0,1,26.06.2024,26.06.2024,"Zkušený, umí podat velmi strukturovanou přednášku|Vybízí k dotazům, dívá se na ně z pohledu studenta a zkouší různá vysvětlení|Zůstal po hodině a zodpověděl dotazy",,"Jediná připomínka, kladná, k strukturovanému výkladu a vstřícnosti k dotazům.",
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,1,5,22.01.2024,15.02.2026,"Tématu velmi dobře rozumí a i složité věty umí vysvětlit intuitivně|Rychlé a férové opravování úkolů, zápočet nebyl problém získat|Dobrý mix výkladu a společné práce, úlohy vyžadují vlastní přemýšlení|Připustil, když zašel s obtížností příkladu příliš daleko","Podle připomínky z roku 2024 nebyl na hodiny připravený a začínal otázkou, co se dělalo na přednášce|Cvičení se často odchylovala od přednášky a ke konci semestru chodilo jen pár lidí|Demotivující poznámky typu, že by student u státnic neprošel|Někteří studenti se v hodině ztráceli a nevěděli, co se po nich chce","Cvičení stojí na intuitivním výkladu a férovém opravování, starší připomínky ale kritizují nepřipravenost a odchylování od přednášky.","Připomínky z roku 2024 kritizují nepřipravenost a demotivující poznámky, novější z let 2025 a 2026 jsou spíše kladné a vyzdvihují intuitivní výklad."
NTIN090,"RNDr. Petr Kučera, Ph.D.",cvičení,1,14,13.02.2024,15.02.2026,"Nechává studentům čas na vlastní řešení a teprve pak dává nápovědy, nedominuje diskusi|Zveřejňuje zadání i vypracovaná řešení na Moodlu, takže absence nevadí|Domácí úkoly jsou adekvátně těžké a hodnoceny férově až mírně, umožňuje i opravu chybného řešení|Klidná nátura, ochotně odpovídá na dotazy i po hodině a i na ty triviální","Jedna připomínka z roku 2024 by uvítala pomalejší a podrobnější výklad převodů na vrcholové pokrytí|Jedné připomínce z roku 2026 přišla cvičení i úkoly příliš jednoduché|Styl je spíše pasivní, studenti řeší sami a řešení se pak předvede na tabuli","Čtrnáct připomínek z let 2024 až 2026, konzistentně kladných; cvičení jsou klidná, dobře zdokumentovaná a zápočet není překážkou.",
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,1,28,05.01.2024,15.02.2026,"Slidy a skripta studenti opakovaně označují za nejlepší materiály, jaké na MFF viděli|Nahrávky přednášek, které lze zrychlit nebo přeskočit u známých pasáží|Zveřejněný seznam všech možných zkouškových otázek a pečlivá kritéria zakončení|U zkoušky vede studenta ke správnému řešení a k detailům je shovívavý","Výklad je opakovaně označován za monotónní až uspávající|Slidů je hodně, 50 až 90 na přednášku, a látka podle jedné připomínky působí roztříštěně bez shrnujících tabulek|Důkazy jsou dlouhé a člověk ztrácí přehled, co se vlastně dokazuje; část látky se opakuje z bakaláře|Jedna připomínka z roku 2024 popisuje otrávené vystupování u zkoušky","Nejobsáhleji hodnocená dvojice v celé anketě: materiály, nahrávky a transparentní zkouška chválí prakticky všichni, stálou výhradou je jen monotónní přednes.",
