kod,vyucujici,role,datum,rocnik,program,text
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,15.02.2026,1. Ročník,Informatika - Umělá inteligence,"Vyučující vede cvičení velice kvalitně, reaguje na místě i online velice svižně a pochopitelně."
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,15.02.2026,1. Ročník,Computer Science - Artificial Intelligence,"Very prepared, reinforces the terms that are required from the lectures, which is a good way to keep the content fresh"
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,12.02.2026,1. ročník,Bioinformatika,"Pan doktor Švancara byl moc milý a nápomocný, cvičení byla zajímavá, zábavná a velmi přínosná, moc děkuji."
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,10.02.2026,1. Ročník,Mathematical Analysis,Nothing to add
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,09.01.2025,1. ročník,Informatika - Umělá inteligence,"Interesting tasks, really nicely commented code. Challenging yet fulfilling homework."
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,09.01.2025,3. Ročník,Informatika,Vstřícný přístup. Ocenil jsem zopakování látky z přednášky a projití zadání k domácím úkolům.
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,18.02.2024,1. Ročník,Informatika - Umělá inteligence,"Skvělý cvičící, který vždy živě diskutuje nad tématem a je ochotný kdykoli komukoli pomoci."
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,14.02.2024,1. Ročník,Computer Science - Artificial Intelligence,"Professor Švancara employs a conversational and hands-on teaching approach that fosters an engaging learning environment. His quick-witted nature, cooperative spirit, and encouraging demeanor create a positive atmosphere in the classroom. Notably, he is open to questioning the norm and remains receptive to improved solutions. I also had the opportunity to experience his teaching during a couple of lectures when Professor Bartak was unavailable. Despite encountering unexpected technical glitches in the slides, Professor Švancara ensured a smooth and enjoyable learning experience. It has indeed been an honor to be his student."
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,02.01.2024,1. Ročník,Informatika - Vizuální výpočty a vývoj počítačových her,"Skvělá komunikace, feedback."
NAIL069,,cvičení,15.02.2026,1. Ročník,Informatika - Umělá inteligence,Cvičení skvěle doplňuje přednášky. Domácí úkoly dávají smysl.
NAIL069,,cvičení,15.02.2026,1. Ročník,Computer Science - Artificial Intelligence,"Interesting exercises, very aligned with the lectures which makes it easier to remember some concepts"
NAIL069,,cvičení,10.02.2026,1. Ročník,Mathematical Analysis,This part was useful to make a link between theory and pratical. We were correctly guide to understand what kind of agents we should use in function of the game we had to code.
NAIL069,,cvičení,13.01.2026,1. ročník,Bioinformatika,"Cvičí obsah hodiny uzpůsobal přítomným studentům. Pokud nám nebylo něco jasné z přednášky, věnovali jsme se tomu. Jinak jsme probírali látku potřebnou k úkolům."
NAIL069,,cvičení,14.02.2025,1. Ročník,Informatika - Umělá inteligence,"Moc se mi líbily domácí úkoly z tohoto předmětu. Každý domácí úkol byla hra, kterou jsem si mohl zahrát, pochopit, jak funguje, a vytvořit nějakou strategii, aby ji agent vyřešil. To bylo skvělé!"
NAIL069,,cvičení,09.01.2025,3. Ročník,Informatika,Super zábavné úkoly.
NAIL069,,cvičení,18.02.2024,1. Ročník,Informatika - Umělá inteligence,"Cvičení nejsou povinná, ale hodí se a jsou fajn. Úkoly byly zábavné a člověk si i může rozvrhnout, jak s nimi bodově vyjde. Přijde mi škoda, že jsou jen jednou za týden. Myslím, že by se toho mohlo dělat víc."
NAIL069,,cvičení,14.02.2024,1. Ročník,Computer Science - Artificial Intelligence,"The tutorials are very well presented. They are very conversational. As for the cohesion of the lectures, the tutorial does not cover all the topics discussed. I believe this to be the case due to the assignment design, which reasonably focuses more on certain parts of the course. If anything, I had some trouble with the technical adaptation of the assignment codebase. I think the documentation could be compressed into a blueprint of the necessary information, which is enough to solve the exercises."
NAIL069,,cvičení,22.01.2024,2. ročník,Informatika - Umělá inteligence,"Musím říct, že jsem s úkoly nejprve spokojený nebyl, protože jsem měl pocit, že příliš času trávím nad tím, jak se má vlastně co napsat a kde hledat které atributy a metody. Nakonec se mi ale moc líbily. Přišlo mi, že mi pomohly i lépe pochopit jednotlivé algoritmy, jak se kde dají aplikovat a podobně."
NAIL069,,cvičení,02.01.2024,1. Ročník,Informatika - Vizuální výpočty a vývoj počítačových her,"Cvičení zajímavé, ale jednou za 14 dní je za mě málo."
NAIL069,,přednáška,15.02.2026,1. ročník,Informatika - Umělá inteligence,"Předmět působí jako velice kvalitní přehled oborem umělé inteligence. Překryv s předmět Úvod do umělé inteligence je značný, i přes to pokročilá témata zahrnuje kvalitně."
NAIL069,,přednáška,12.02.2026,1. ročník,Bioinformatika,"Velice zajímavý předmět, přehledné, strukturované přednášky."
NAIL069,,přednáška,10.02.2026,1. Ročník,Mathematical Analysis,"I appreciated the concrete exemples to really understand how the different kind of algorithms evolve. The lecture was passionate and the fact to have different teacher wasn't a problem, it has even created a good dynamics."
NAIL069,,přednáška,13.01.2026,1. ročník,Bioinformatika,"Algoritmy v prezentacích mi přišly těžko čitelné vůči jiným materiálům, které jsem za své studium na matfyzu viděla. A příklady průběhu algoritmu děravé."
NAIL069,,přednáška,16.02.2025,1. ročník,Informatika - Umělá inteligence,"Aby šlo výklad a slajdy zlepšit, hodilo by se popsat, co konkrétně je na algoritmech špatně čitelné (jedná se o psedokódy, které přirozeně při implementaci chtějí doplnit o technické detaily) a kde konkrétně byly díry v příkladech běhu."
NAIL069,,přednáška,14.02.2025,1. Ročník,Informatika - Umělá inteligence,"Slidy mi přišli trochu zastaralé a občas bylo těžký pochopit o co jde (oproti originální učebnici ""Russell, Norvig - Artificial intelligence. A Modern approach""). Pan"
NAIL069,,přednáška,18.02.2024,1. Ročník,Computer Science - Artificial Intelligence,"Velmi mě mrzelo, že má předmět opravdu velký průnik s bakalářskými předměty Úvod do umělé inteligence s Výroková a predikátová logika. Přišlo mi, že pro mě bylo přibližně 80% předmětu opakování. Pokud předmět nemáte jako povinný a jen vás zajímá úvod do témat klasické umělé inteligence, doporučuji spíše právě ten bakalářský předmět."
NAIL069,,přednáška,18.02.2024,1. Ročník,Informatika - Umělá inteligence,Optimal architecture for this course. Extremely well-paced.
NTIN066,"RNDr. Jiří Fink, Ph.D.",cvičení,22.01.2026,1. Ročník,Informatika - Softwarové systémy,"Fakt super, povedené cvičení - krásně se navazovalo na přednášku, vše vždy bylo moc pěkně vysvětleno - je vidět, že vyučující je opravdu velmi znalým odborníkem :)"
NTIN066,"RNDr. Jiří Fink, Ph.D.",cvičení,14.01.2026,1. Ročník,Informatika - Softwarové a datové inženýrství,"Prý je fajn, ale já na cvičení nechodil a nemohu to potvrdit :)"
NTIN066,"RNDr. Jiří Fink, Ph.D.",cvičení,12.01.2026,1. ročník,Informatika - Softwarové systémy,"Dobrá a celkem rychlá zpětná vazba k úkolům. Cvičení vedl dobře a připojil k přednášce praktické využití a kontext, což rozšířilo znalosti nad to co se musí. Cvičení je trochu přednáškové, ale v tomto předmětu to není na škodu."
NTIN066,"RNDr. Jiří Fink, Ph.D.",cvičení,13.02.2024,1. ročník,Informatika - Diskrétní modely a algoritmy,"Cvičení je zajímavé a člověk se tam dozví věci, které se na přednášce nestihnou a hezky vše propojí."
NTIN066,"RNDr. Jiří Fink, Ph.D.",cvičení,13.01.2024,1. ročník,Informatika - Softwarové a datové inženýrství,"Cvičení jsem se rozhodl po prvních pár hodinách nenavštěvovat. Osobně věřím a doufám, že na MFF není potřeba hned na prvním cvičení 10 minut řešit to, abychom neodevzdávali cizí/zkopírovaná řešení do ReCodExu (to bylo to jediné, co jsem si z prvního cvika odnesl). Dále jsem měl pocit, že se hodně času tráví ""ničím"" - buď se čekalo na odpověď, nebo bylo půl minuty po zodpovězení otázky ticho. Je možné, že se to později v semestru zlepšilo, nedokážu posoudit. Opravování úkolů bylo velmi rychlé a úkoly byly dobře ohodnocené."
NTIN066,"RNDr. Jiří Fink, Ph.D.",přednáška,16.02.2025,1. Ročník,Informatika - Softwarové a datové inženýrství,"Přednášky nemají záznamy, což je kompenzováno dostupností nahrávek dr. Mareše, které nastavují laťku opravdu vysoko a tak rozumím, že se snad vyučujícímu nechce snažit je překonat. Oceňuji transparentnost požadavků na zkoušku ve formě zveřejnění všech možných kombinací otázek. Vyučující nekomunikuje se studenty, např. ohledně toho, zda bude vypisovat i termíny v letním semestru."
NTIN066,"RNDr. Jiří Fink, Ph.D.",přednáška,16.02.2025,1. ročník,Informatika - Jazykové technologie a počítačová lingvistika,"Přednášet ""paralelně"" s MM je netriviální úkol, bylo milé, že přednášející šel v přednášce podobně a bylo možné téměř ve všech tématech vyjít z poznámek a nahrávek MM, pro mě samotnou o dost srozumitelnějších než výklad přednášejícího. Trochu prapodivně a netrasparentně se jevilo hodnocení u zkoušky a zkoušení celkově. Bylo by fajn kromě zveřejněných zkouškových otázek, což je super věc, ještě lépe specifikovat požadavky (např. ""nebudu se ptát na věci mimo slajdy"", které jsem jenom tak zmínil a odkazované poznámky MM k předmětu je též nezmiňují) či jejich hloubku vzhledem k hodnotícím stupňům."
NTIN066,"RNDr. Jiří Fink, Ph.D.",přednáška,29.01.2025,4. ročník,Informatika,"Ještě jsem neměl tak špatnou zkoušku na bakalářském ani magisterském programu. Přednášející má koš otázek, ze kterého zkouší a je téměř irelevantní. Otázky jsou nejasně napsané a přijde mi, že jsou schválně vágní a všude vynechává detaily a přesnou terminologii toho, co chce. Někde je jen napsaný nadpis tématu, a je-li konkrétnější tak uvádí, že máme jen popsat nějakou část daného tématu přičemž reálně chce definice, detaily, věty, lemmata, důkazy, aplikace, algoritmy, složitost, souvislost s jinými předměty, ... Přijde mi, že se zkoušející snaží najít všechno to, co se student nenaučil a nachytat ho na tom namísto prezentace znalostí studenta. Samozřejmě je to i hra ve slovíčkaření a stres vůbec nebere v potaz, pokud najde nějakou chybičku tak má připraveno 100 otázek na to a student automaticky neovládá základy v jeho očích. V přednášení také zaostává. Nevím jestli se mám dívat na prezentace (které jsou samozřejmě nepoužitelné jako studijní materiál) nebo se soustředit na jeho příliš rychlý výklad. Vlastní materiály má jen prezentace a ty jsou nedostačující, jak on řekl a spoléhá na přednášky jiných vyučujících. Odpovědi na všechny jeho zkouškové otázky jsem nedokázal najít."
NTIN066,"doc. Mgr. Petr Gregor, Ph.D.",přednáška,26.06.2024,1. Ročník,Computer Science - Artificial Intelligence,"Professor Gregor is sincere and encouraging. He is very experienced and knows how to deliver a very structured lecture. He also encourages questions, looks at them from the student's perspective, and tries different ways to help them understand without making it feel burdensome. He also stayed overtime to answer some of my questions. It has been a pleasure to be his student for a semester."
NTIN066,Mgr. Petr Chmel,cvičení,06.02.2026,3. Ročník,Informatika,"Super cvičící, líbilo se mi, jak vysvětluje látku, které nerozumím. :)"
NTIN066,Mgr. Petr Chmel,cvičení,16.02.2025,2. Ročník,Informatika,"Vynikající cvičící. Jeho rady byly vždy insightful. Oceňuji řešení úkolů z cvičení na webu, která mi nejednou pomohla s reporty a při učení se na zkoušku."
NTIN066,Mgr. Petr Chmel,cvičení,16.02.2025,1. ročník,Informatika - Jazykové technologie a počítačová lingvistika,"Výborně připravená cvika a cvíčící. Ochotný a chápající. Příjemná úvodní výkladová část opršující základ přednášky před řešením příkladů. Zveřejňování zadání cvik s řešením na webu pro případ absence. Rychlé a ne zbytečně pedantské opravy úkolů. I v pátek od 12:20 nás chodilo celý semestr alespoň 12, do před Vánoc i více :-)"
NTIN066,Mgr. Petr Chmel,cvičení,09.01.2025,1. ročník,Informatika - Umělá inteligence,"Z Petrových cvičení je cítit, že se zamýšlí nad tím, jak nás něco naučit a jak nám znalosti lépe předat. Přijde mi, že se snaží stále zlepšovat a to je nesmírně svěží. Za mě nej cvičící."
NTIN066,Mgr. Petr Chmel,cvičení,07.01.2025,1. ročník,Informatika - Softwarové a datové inženýrství,"Naprosto skvělý cvičící, vše ochotně vysvetli, cvičení jsou živá, studenti jsou rozdělení do skupiny a cvičící pak skupiny postupne obchází a konzultuje řešení"
NTIN066,Mgr. Petr Chmel,cvičení,05.02.2024,1. Ročník,Informatika - Diskrétní modely a algoritmy,"Připadalo mi, že Petr se vážně snaží, aby cvičení byla co nejlepší. Líbilo se mi, že jsme pracovali po skupinkách."
NTIN066,Mgr. Petr Chmel,cvičení,25.01.2024,1. Ročník,Informatika - Umělá inteligence,"Super cvičící, málokdy se vidí podobná kvalita. Petr nás typicky rozděloval do skupinek, což bylo fajn, protože člověk nemusel sedět hodinu zaseklej nad úkolem. Zároveň nás obcházel a kontroloval, že nikomu skupinka neujíždí. Byl ochotný se kdykoli bavit o jakémkoli datovkovém tématu a na všechny otázky s úsměvem odpovídal. Také oceňuji, že jsme pokaždé měli možnost dát feedback a cvičící se nás aktivně ptal, jestli nám formát vyhovuje. Jediné, co bych lehce vytknul, je hlasitost výkladu. Na tom musí Petr ještě zapracovat nebo zvolit ""namačkanější"" učebnu."
NTIN066,"RNDr. David Mareček, Ph.D.",cvičení,27.06.2024,2. Ročník,Computer Science - Artificial Intelligence,Prof. Mareček is very hands on with theorems and proofs. He actively encourages students to ask and ensures everyone is on the same page as he progresses thru his tutorials. He gives apt hints when we are stuck on some problem and ask for help. He also gives detailed feedback on homework in a timely manner to allow for reiterations.
NTIN066,"Mgr. Martin Mareš, Ph.D.",přednáška,18.02.2024,1. Ročník,Informatika - Diskrétní modely a algoritmy,"Vyučující je vždy dobře připraven na výuku, přednáší srozumitelně. Podmínky u zkoušky jsou férové (dostali jsme po jedné otázce z každého ze dvou ""okruhů"")."
NTIN066,"Mgr. Martin Mareš, Ph.D.",přednáška,18.02.2024,1. Ročník,Informatika - Umělá inteligence,"Velice dobrá přednáška. U přednášky nebyl problém udržet pozornost. K tomu ještě přednáška byla nahrávaná, takže jste se mohli vždy k nějaké pasáži vrátit!"
NTIN066,"Mgr. Martin Mareš, Ph.D.",přednáška,13.02.2024,1. ročník,Informatika - Diskrétní modely a algoritmy,"Pan doktor Mareš je špičkový vyučující a všechny předměty, které vyučuje jsou jedny z mých nejoblíbenějších. A to nemluvě o skriptech, která jsou výstižná a pochopitelná a obsahují pomocné komentáře."
NTIN066,"Mgr. Martin Mareš, Ph.D.",přednáška,25.01.2024,1. Ročník,Informatika - Umělá inteligence,"Martin Mareš je legenda. Famózní výklad, který si můžete pustit kolikrát chcete díky pořizovaným záznamům. U nikoho nevidím tak veliké zapálení do výuky jako u něj a nedokážu si představit, že by byl na někoho ošklivý."
NTIN066,"Mgr. Martin Mareš, Ph.D.",přednáška,13.01.2024,1. ročník,Informatika - Softwarové a datové inženýrství,"Super přednášející, velmi dobrá kvalita záznamů a skript, zkouška přiměřená a férová."
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,15.02.2026,1. Ročník,Informatika - Softwarové systémy,"Jsem velmi rád, že jsem se dostal na cvičení s Pavlem Veselým. Témata vysvětloval dobře, většinou se toho stihlo poměrně hodně a ze cvičení jsem si toho hodně odnesl. Na cvičeních také panovala velmi příjemná atmosféra."
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,09.02.2026,1. ročník,Informatika - Softwarové systémy,"Klasická algoritmická/matematická cvičení, kde se rozdají papíry s příklady a poté se (ve skupinkách) řeší a cvičící mezitím obchází studenty a dává nápovědy nebo vysvětluje nejasnosti. Cvičící je velmi hodný a nápomocný. Občas je ale (podobně jako na přednášce) jeho výklad/analýza trochu ledabylá, když zanedbává všelijaké konstanty, což ztěžuje pochopení látky. Líbil se mi styl úkolů, které nebyly čistě teoretické (protože toho se na Bc. studiu dělalo dost). Obzvláště úkoly experimentální byly zajímavé. Jediné, co bych vytknul bylo náhodné rozdělování do skupin pro řešení úkolů na cvičení. Například mně se pracuje mnohem lépe, když jsem s lidmi, které znám. Při práci s víceméně cizími lidmi jsem značně více pasivní a mám větší problém nadhazovat nápady a řešení, což vede k celkově menšímu zapojení a tedy i menší pravděpodobnosti se něco nového naučit."
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,02.02.2026,1. ročník,Informatika - Umělá inteligence,"Co se mi líbilo: * Dobře připravené materiály na cvičení * Práce ve skupinkách * Komentáře k odevzdaným domácím úkolům (např. jak dané řešení ještě vylepšit) Co se mi nelíbilo/nevyhovovalo: * Chaotický výklad * Špatné rozvržení času v rámci cvičení * Dostali jsme zadaná cvičení, ale čas na jejich řešení byl až příliš dlouhý. Chápu, že se nám vyučující snažil dát prostor na vlastní řešení, ale času bylo až moc. Na konci se nic nestíhalo, takže se jen rychle prošel zbytek řešení. * Pokud člověk jsme nedošli k nějakém řešení, tak jsme dlouho čekali na správný postup. Tím, že na sebwe cvičení často navazovala, tak se pak nedaly řešit ani ty další. * Když to porovnám s panem Chmelem, kterého jsme měli jako záskok, tak tam to jsme dostali dostatek času na vlastní přemýšlení, ale zároveň správně vycítil okamžik, kdy už se skupiny v řešení dále nepohnou a bude potřeba řešení představit na tabuli. => Řešení: Pokud vidíte, že skupinky stagnují, nenechte je se v tom ""topit"" a vysvětlete řešení pro všechny."
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,16.02.2025,1. Ročník,Informatika - Softwarové a datové inženýrství,"Na cvičení jsem nechodil. Vyučující je v komunikaci i opravování úkolů vstřícný a promptní. Vyšel mi vstříc i s odevzdáním po termínu, když mi chyběly dva body do zápočtu, čehož si velmi vážím."
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,18.02.2024,1. Ročník,Informatika - Diskrétní modely a algoritmy,"Oceňuji, že cvičící vždy shrnul obsah přednášky a v průběhu řešení úloh na cvičení byl nápomocný a dával nápovědy. Úkoly byly opravovány brzy po odevzdání a často obsahovaly nějaké vysvětlení/vylepšení, takže jsem se i z opravovaných úkolů něco naučila. Zároveň nebyly hodnoceny příliš přísně."
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,13.02.2024,1. ročník,Informatika - Jazykové technologie a počítačová lingvistika,"Dělení do náhodných skupinek funguje pouze když se cvičení účastní víceméně stejně aktivní studenti. To se v mém případě nestalo. Líbilo by se mi, kdyby při zjevné neaktivitě (nevědomosti) skupiny cvičící aktivněji řešil úlohy na tabuli. Proběhnout příklady velmi rychle v posledních pěti minutách mi nic nepřineslo."
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,15.02.2026,1. Ročník,Informatika - Softwarové systémy,"Pavel Veselý přednáší moc pěkně a v tématu se orientuje. Také mi přijde, že předmět jako celek dobře vedl a důstojným způsobem pokračoval v práci svých předchůdců."
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,15.02.2026,1. Ročník,Informatika - Umělá inteligence,Projev přednášejícího je velice dobrý a reaktivní. Nahrávky přednášek (i přes technické komplikace) slouží jako skvělý studijní materiál.
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,09.02.2026,1. ročník,Informatika - Softwarové systémy,"Přednášející byl vcelku fajn. Přednes byl možná trochu zmatenější, zejména momenty, kdy si uvědomil, že by někde byla analýza struktury/algoritmu složitější a tak začal ""mávat rukami"" a ukazovat, kde všude by se věci lišili jen o konstantu a že to ve výsledku vlastně vyjde. To člověku, který danou látku vidí poprvé značně znepřístupní její pochopení. Velmi si vážím zájmu přednášejícího pořizovat videozáznamy, jelikož to je jeden z nejcennějších materiálů, který může studentům poskytnout. Bohužel spousta z nich má nějaké problémy (špatný zvuk a nebo se záznam vůbec neuložil) a tedy jsem ve finále k učení používal záznamy pana doktora Mareše. U zkoušky byl přednášející férový."
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,06.02.2026,1. Ročník,Informatika - Teoretická informatika,https://en.wikipedia.org/wiki/MESI_protocol
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,06.02.2026,4. ročník,Informatika,"Učivo bolo prednášané zaujímavo a vecne, aj keď štruktúra niektorých prednášok bola chaotickejšia a nebolo jednoduché si z toho spísať priamočiare poznámky. S výnimkou niektorých menej systematicky-vedených prednášok a chýbajúcich nahrávok bola výuka v poriadku."
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,06.02.2026,3. Ročník,Informatika,Moc fajn vyučující. :)
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,27.01.2026,1. Ročník,Informatika - Teoretická informatika,"Výborná přednáška, oceňuji nahrávky, mnoho materiálů a hlavně oznámené otázky ke zkoušce."
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,22.01.2026,1. ročník,Informatika - Softwarové systémy,"Pěkně předneseno. Občas byly nějaké mírné zmatky, ale to se stane :)"
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,14.01.2026,1. Ročník,Informatika - Softwarové a datové inženýrství,"Jenom kdyby se nahrávání přednášek více dařilo, tak bych byl spokojenější, jelikož bez nahrávek jsou slidy neúplné a nedostatečné pro učení se na zkoušku :')"
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,12.01.2026,1. ročník,Informatika - Softwarové systémy,Oceňuji livestream přednášek a seznam otázek na zkoušku. Přednášel srozumitelně. Na učení jsem použil materiály od medvěda.
NTIN066,,cvičení,15.02.2026,1. Ročník,Informatika - Softwarové systémy,"Cvičení z datovek je navrženo velmi dobře, obzvlášť jsem ocenil praktické domácí úkoly, které mi umožnily témata jinak teoretického předmětu daleko lépe pochopit, když jsem si mohl datové struktury ""osahat"". Možná vidím lehký nepoměr v obtížnosti implementačních a experimentálních úkolů, což je asi dané mým zaměřením (je pro mě daleko jednodušší něco naprogramovat, než teoreticky podkládat, proč se datová struktura nějak chová)."
NTIN066,,cvičení,15.02.2026,1. ročník,Informatika - Umělá inteligence,"Programovací domácí úkoly dávají smysl a dobře doplňují látku, experimentální úlohy jsou poté hodnoceny nepochopitelně a je dbán mnohem větší důraz na formalismy než obsah."
NTIN066,,cvičení,09.02.2026,1. ročník,Informatika - Softwarové systémy,Náplň cvičení byla hezky propojená s přednáškou. Procvičovaly se praktičtější aspekty přednesených struktur/algoritmů.
NTIN066,,cvičení,06.02.2026,1. Ročník,Informatika - Teoretická informatika,"Pěkdný inside a výběr toho podstatného, procvičení konkrétních potřebných algoritmů. I přes to pro mě měly hlavní hodnotu diskuze se studenty, kdy přichází i sebejisté špatné odpovědi, a následně sneek peaky do praxe, klidně bych jich slyšel dokonce i trochu víc."
NTIN066,,cvičení,06.02.2026,3. Ročník,Informatika,Fajn předmět.
NTIN066,,cvičení,02.02.2026,1. ročník,Informatika - Umělá inteligence,"Co se mi líbilo: * Vzorová řešení cvičení u pana Chmela Co se mi nelíbilo/nevyhovovalo: * Pozdní zveřejnění zkouškových otázek * Body ze semestru se nijak nezohledňují u zkoušky * Ocenil bych, kdyby se body ze semestru v nějaké míře přenášely i ke zkoušce."
NTIN066,,cvičení,22.01.2026,1. ročník,Informatika - Softwarové systémy,"Cvičení byla fajn, ale moc mi nesedly ty experimentální úlohy. Nápad je to hezký, ale nepřišlo mi, že by mi to něco dalo - říkám si, zda to nebylo tím, že ten skript na spuštení testů už byl daný a my jsme jenom měli popsat ten výsledek - možná by bylo lepší dát studentům větší volnost, ať zkusí připravit nějaké ty testy sami a analyzovat jejich výsledky."
NTIN066,,cvičení,14.01.2026,1. Ročník,Informatika - Softwarové a datové inženýrství,"Cením formu cvičení, kdy je účast dobrovolná, záleží hlavně na práci u domácích úloh. Dovoluje mi to mít flexibilnější rozrh. Navíc je pak alespoň na cvičení větší prostor vysvětlit si to, co není z přednášek jasné."
NTIN066,,cvičení,12.01.2026,1. ročník,Informatika - Softwarové systémy,"Implementace v domácích úkolech DS co byly na přednášce, je užitečné a zajímavá změna oproti ADS 2."
NTIN066,,cvičení,02.02.2025,1. ročník,Informatika - Umělá inteligence,"Cvičenia mi až tak nepomohli uchopiť danú problematiku DO DETAILU. Navrhoval by som trochu upraviť systém. Najlepšie by bolo každý príklad vysvetliť na tabuľu. Skupinky by dostali niekoľko času na riešenie, potom by mohlo byť odprezentované riešenie. Neraz sa mi stalo, že som riešenia pochopil iba Z POLOVICE."
NTIN066,,cvičení,27.06.2024,2. Ročník,Computer Science - Artificial Intelligence,"The tutorial effectively covered the important topics from the lectures, providing more background to them, while also managing to discuss the homework. Overall, one of the most cohesive learning experiences I’ve had in any tutorials in the university."
