kod,vyucujici,role,obdobi,odpovedelo,zapsano,srozumitelnost,usporadanost,zajimavost,vztah_ke_studentum,kvalita_materialu,korektnost,obtiznost,znalosti_studentu,ucast,priprava,kazen,rec,literatura,celkove_predmet,celkove_vyucujici,otazka19
NTIN066,"RNDr. Radek Hušek, Ph.D.",cvičení,2020 / zimní,7,73,,,,,,,,,,,,,,"1,71",,
NTIN066,"RNDr. Radek Hušek, Ph.D.",cvičení,2022 / zimní,5,66,,,,,,,,,,,,,,"1,00",,
NTIN066,"RNDr. Radek Hušek, Ph.D.",cvičení,2023 / zimní,5,104,,,,,,,,,,,,,,"1,20",,
NTIN066,"RNDr. Radek Hušek, Ph.D.",cvičení,2024 / zimní,10,151,,,,,,,,,,,,,,"1,00",,
NTIN066,"prof. RNDr. Václav Koubek, DrSc.",přednáška,2003 / zimní,19,162,"3,11","2,47","2,47","3,47","3,00","2,42","2,26","3,21","3,63","3,63","2,26","2,63",,,,
NTIN066,"prof. RNDr. Václav Koubek, DrSc.",přednáška,2004 / zimní,32,159,"3,38","2,38","3,16","2,00","2,94","1,56","2,73","2,20",,,,,,,,
NTIN066,"prof. RNDr. Václav Koubek, DrSc.",přednáška,2006 / zimní,19,188,"3,11","2,16","3,79","2,11","3,11","2,11","3,79","2,47",,,,,,,,
NTIN066,"prof. RNDr. Václav Koubek, DrSc.",přednáška,2007 / zimní,30,202,"3,50","2,23","3,87","1,97","3,20","2,32","4,25","2,89",,,,,,,,
NTIN066,"prof. RNDr. Václav Koubek, DrSc.",přednáška,2008 / zimní,24,214,"3,46","2,38","3,75","2,04","3,04","1,96","3,88","2,36",,,,,,,,
NTIN066,"prof. Mgr. Michal Koucký, Ph.D.",přednáška,2014 / zimní,58,134,"1,71","1,67","1,95","1,39","1,88","1,00","2,79","2,24",,,,,"2,82",,,
NTIN066,"prof. Mgr. Michal Koucký, Ph.D.",přednáška,2015 / zimní,36,84,,,,,,,,,,,,,,"1,44",,
NTIN066,"prof. Mgr. Michal Koucký, Ph.D.",cvičení,2021 / zimní,6,108,,,,,,,,,,,,,,"1,50",,
NTIN066,"prof. Mgr. Michal Koucký, Ph.D.",přednáška,2021 / zimní,16,108,,,,,,,,,,,,,,"1,56",,
NTIN066,"prof. Mgr. Michal Koucký, Ph.D.",přednáška,2024 / letní,5,30,,,,,,,,,,,,,,"1,40",,
NTIN066,"RNDr. David Mareček, Ph.D.",cvičení,2023 / letní,6,27,,,,,,,,,,,,,,"2,17",,
NTIN066,"Mgr. Martin Mareš, Ph.D.",cvičení,2018 / letní,6,28,,,,,,,,,,,,,,"1,00",,
NTIN066,"Mgr. Martin Mareš, Ph.D.",přednáška,2017 / zimní,25,133,,,,,,,,,,,,,,"1,20",,
NTIN066,"Mgr. Martin Mareš, Ph.D.",přednáška,2018 / letní,7,28,,,,,,,,,,,,,,"1,14",,
NTIN066,"Mgr. Martin Mareš, Ph.D.",přednáška,2019 / zimní,24,103,,,,,,,,,,,,,,"1,08",,
NTIN066,"Mgr. Martin Mareš, Ph.D.",přednáška,2023 / zimní,16,104,,,,,,,,,,,,,,"1,00",,
NTIN066,"RNDr. Ondřej Mička, Ph.D.",cvičení,2019 / letní,5,17,,,,,,,,,,,,,,"2,00",,
NTIN066,"RNDr. Ondřej Mička, Ph.D.",cvičení,2019 / zimní,5,103,,,,,,,,,,,,,,"1,00",,
NTIN066,"RNDr. Ondřej Mička, Ph.D.",cvičení,2020 / zimní,7,73,,,,,,,,,,,,,,"1,29",,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2023 / zimní,7,104,,,,,,,,,,,,,,"1,57",,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2025 / zimní,6,177,,,,,,,,,,,,,,"1,50",,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2025 / zimní,24,177,,,,,,,,,,,,,,"1,50",,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2021 / zimní,5,108,,,,,,,,,,,,,,"1,00",,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2017 / zimní,24,133,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2018 / zimní,21,80,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2018 / letní,7,28,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2019 / zimní,21,103,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2019 / letní,7,17,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2015 / zimní,42,84,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2016 / zimní,25,81,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2017 / zimní,41,133,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2018 / zimní,21,80,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2018 / letní,7,28,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2019 / zimní,24,103,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2019 / letní,7,17,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2020 / zimní,18,73,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2021 / zimní,17,108,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2022 / zimní,10,66,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2023 / zimní,15,104,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2023 / letní,6,27,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2024 / zimní,18,151,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,2025 / zimní,20,177,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2020 / zimní,19,73,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2021 / zimní,16,108,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2021 / letní,5,35,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2022 / zimní,8,66,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2023 / zimní,16,104,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2023 / letní,6,27,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2024 / zimní,17,151,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2024 / letní,5,30,,,,,,,,,,,,,,,,
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,2025 / zimní,24,177,,,,,,,,,,,,,,,,
NTIN090,"RNDr. Jakub Bulín, Ph.D.",cvičení,2020 / zimní,6,96,,,,,,,,,,,,,,"1,50",,
NTIN090,"RNDr. Jakub Bulín, Ph.D.",cvičení,2021 / zimní,5,155,,,,,,,,,,,,,,"2,80",,
NTIN090,"RNDr. Jiří Fink, Ph.D.",cvičení,2017 / zimní,13,118,,,,,,,,,,,,,,"4,23",,
NTIN090,"RNDr. Jiří Fink, Ph.D.",přednáška,2017 / zimní,14,118,,,,,,,,,,,,,,"4,00",,
NTIN090,"doc. Mgr. Petr Gregor, Ph.D.",cvičení,2013 / zimní,12,82,"1,75","1,83","2,17","1,75","1,83",,"3,92","3,08",,,,,,,,
NTIN090,"doc. Mgr. Petr Gregor, Ph.D.",cvičení,2019 / zimní,10,125,,,,,,,,,,,,,,"1,50",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",cvičení,2013 / zimní,23,82,"1,91","1,57","2,43","1,52","1,91",,"3,87","2,52",,,,,,,,
NTIN090,"RNDr. Petr Kučera, Ph.D.",cvičení,2014 / zimní,23,76,"2,14","1,82","2,83","2,00","2,32",,"3,45","2,81",,,,,"1,76",,,
NTIN090,"RNDr. Petr Kučera, Ph.D.",cvičení,2015 / zimní,30,103,,,,,,,,,,,,,,"2,43",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",cvičení,2016 / zimní,18,104,,,,,,,,,,,,,,"2,22",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",cvičení,2018 / zimní,13,127,,,,,,,,,,,,,,"1,46",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",cvičení,2019 / zimní,14,125,,,,,,,,,,,,,,"1,93",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",cvičení,2020 / zimní,10,96,,,,,,,,,,,,,,"1,50",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",cvičení,2021 / zimní,13,155,,,,,,,,,,,,,,"1,38",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",cvičení,2023 / zimní,17,121,,,,,,,,,,,,,,"1,53",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",cvičení,2024 / zimní,11,184,,,,,,,,,,,,,,"1,18",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",cvičení,2025 / zimní,17,201,,,,,,,,,,,,,,"1,59",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,2013 / zimní,17,82,"1,65","1,47","2,59","1,65","1,76",,"3,88","2,76",,,,,,,,
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,2014 / zimní,19,76,"2,05","1,79","2,37","1,83","1,84",,"3,19","2,53",,,,,"1,74",,,
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,2015 / zimní,41,103,,,,,,,,,,,,,,"2,12",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,2016 / zimní,23,104,,,,,,,,,,,,,,"2,04",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,2017 / zimní,19,118,,,,,,,,,,,,,,"2,05",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,2018 / zimní,28,127,,,,,,,,,,,,,,"2,00",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,2019 / zimní,30,125,,,,,,,,,,,,,,"2,07",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,2020 / zimní,21,96,,,,,,,,,,,,,,"1,62",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,2021 / zimní,18,155,,,,,,,,,,,,,,"1,72",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,2023 / zimní,26,121,,,,,,,,,,,,,,"1,62",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,2024 / zimní,21,184,,,,,,,,,,,,,,"1,24",,
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,2025 / zimní,23,201,,,,,,,,,,,,,,"1,74",,
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,2015 / zimní,10,103,,,,,,,,,,,,,,"2,50",,
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,2023 / zimní,7,121,,,,,,,,,,,,,,"2,29",,
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,2024 / zimní,8,184,,,,,,,,,,,,,,"2,63",,
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,2015 / zimní,42,103,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,2016 / zimní,24,104,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,2017 / zimní,35,118,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,2018 / zimní,27,127,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,2019 / zimní,30,125,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,2020 / zimní,20,96,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,2021 / zimní,21,155,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,2023 / zimní,25,121,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,2024 / zimní,19,184,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,2025 / zimní,21,201,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",přednáška,2015 / zimní,44,103,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",přednáška,2016 / zimní,26,104,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",přednáška,2017 / zimní,34,118,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",přednáška,2018 / zimní,28,127,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",přednáška,2019 / zimní,32,125,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",přednáška,2020 / zimní,21,96,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",přednáška,2021 / zimní,18,155,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",přednáška,2023 / zimní,27,121,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",přednáška,2024 / zimní,21,184,,,,,,,,,,,,,,,,
NTIN090,"Mgr. Vladan Majerech, Dr.",přednáška,2025 / zimní,23,201,,,,,,,,,,,,,,,,
NAIL070,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2010 / letní,7,43,"1,86","1,57","1,43","1,57","1,43","1,00","3,20","1,80",,,,,,,,
NAIL070,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2011 / letní,13,43,"1,62","1,31","1,69","1,38","1,46","1,15","2,92","2,25",,,,,,,,
NAIL070,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2013 / letní,25,61,"1,28","1,29","1,28","1,24","1,29",,"2,96","2,25",,,,,"1,48",,,
NAIL070,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2014 / letní,16,47,"1,38","1,19","1,25","1,06","1,27",,"3,06","2,44",,,,,"2,00",,,
NAIL070,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2015 / letní,8,36,,,,,,,,,,,,,,"1,25",,
NAIL070,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2016 / letní,7,42,,,,,,,,,,,,,,"1,00",,
NAIL070,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2017 / letní,13,58,,,,,,,,,,,,,,"1,15",,
NAIL070,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2018 / letní,7,66,,,,,,,,,,,,,,"1,29",,
NAIL070,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2019 / letní,12,64,,,,,,,,,,,,,,"1,58",,
NAIL070,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2020 / letní,5,47,,,,,,,,,,,,,,"1,60",,
NAIL070,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2024 / letní,10,95,,,,,,,,,,,,,,"1,10",,
NAIL070,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2004 / letní,7,37,"2,00","1,86","1,86","1,29","1,86","1,40","2,80","2,00",,,,,,,,
NAIL070,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2015 / letní,8,36,,,,,,,,,,,,,,,,
NAIL070,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2016 / letní,7,42,,,,,,,,,,,,,,,,
NAIL070,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2017 / letní,14,58,,,,,,,,,,,,,,,,
NAIL070,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2018 / letní,9,66,,,,,,,,,,,,,,,,
NAIL070,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2019 / letní,13,64,,,,,,,,,,,,,,,,
NAIL070,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2020 / letní,5,47,,,,,,,,,,,,,,,,
NAIL070,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2024 / letní,10,95,,,,,,,,,,,,,,,,
NAIL002,"RNDr. František Mráz, CSc.",cvičení,2006 / zimní,5,38,"1,40","1,40","1,40","1,20","1,40","1,40","2,75","2,00",,,,,,,,
NAIL002,"RNDr. František Mráz, CSc.",cvičení,2007 / zimní,7,43,"2,14","1,71","2,14","1,57","1,86","1,20","2,20","2,60",,,,,,,,
NAIL002,"RNDr. František Mráz, CSc.",cvičení,2008 / zimní,9,48,"1,56","1,89","2,11","1,56","1,67","1,67","2,25","2,00",,,,,,,,
NAIL002,"RNDr. František Mráz, CSc.",cvičení,2011 / zimní,7,51,"2,14","2,00","2,57","2,14","2,43","1,71","2,29","2,50",,,,,,,,
NAIL002,"RNDr. František Mráz, CSc.",cvičení,2013 / zimní,20,35,"1,80","1,74","2,00","1,37","2,05",,"3,05","2,58",,,,,,,,
NAIL002,"RNDr. František Mráz, CSc.",cvičení,2014 / zimní,15,30,"1,87","1,60","1,87","1,40","1,87","1,50","3,00","2,47",,,,,"1,73",,,
NAIL002,"RNDr. František Mráz, CSc.",cvičení,2015 / zimní,16,44,,,,,,,,,,,,,,"1,56",,
NAIL002,"RNDr. František Mráz, CSc.",cvičení,2016 / zimní,13,39,,,,,,,,,,,,,,"2,15",,
NAIL002,"RNDr. František Mráz, CSc.",cvičení,2017 / zimní,12,47,,,,,,,,,,,,,,"2,08",,
NAIL002,"RNDr. František Mráz, CSc.",cvičení,2018 / zimní,9,49,,,,,,,,,,,,,,"1,56",,
NAIL002,"RNDr. František Mráz, CSc.",cvičení,2020 / zimní,9,25,,,,,,,,,,,,,,"1,78",,
