kod,url_kurzu,url_vyucujici,dochazka,dochazka_doklad,nahravky,nahravky_doklad,zapocet,samostudium,poznamka,zdroj
NAIL086,https://martinpilat.com/cs/evolucni-algoritmy-ii (cvičení) ; https://ktiml.mff.cuni.cz/~neruda/ (přednáška),https://martinpilat.com/ ; https://ktiml.mff.cuni.cz/~neruda/,povinna,"Pilát, sekce „Požadavky na zápočet“: „Chodit na cvičení, když to bude aspoň trochu možné.“ (spolu s výběrem tématu v 1. týdnu a nahráním slidů po prezentaci)",castecne,"Neruda: „EVA 2 (NAIL086): slajdy k přednášce [pdf] … lecture notes in english [pdf]“ (eva2-13.pdf, eva2-18en.pdf). Videozáznamy nikde.",referativní seminář: ~20min prezentace na cvičení + nahrání slidů + docházka,"tezke - cvičení je referativní seminář, kde je docházka výslovně v požadavcích na zápočet a prezentace se drží osobně","Téma se zapisuje do sdílené tabulky během 1. týdne semestru včetně data prezentace; na cvičení se vejdou 4 prezentace. „Pokud na daný den není plánovaná žádná prezentace, cvičení nejsou.“ Prezentace lze i ve dvojici, pak musí obsahovat implementaci a předvedení. Slajdy přednášky jsou z 2013 (cz) a 2018 (en).",https://martinpilat.com/cs/evolucni-algoritmy-ii
NAIL099,http://ai.ms.mff.cuni.cz/~sui/,http://www.cs.cas.cz/~martin/,povinna,"SIS: „K získání zápočtu za tento předmět stačí pasivní účast na všech seminářích (s výjimkou omluvené neúčasti), avšak ve dvou různých semestrech.“",castecne,"Na stránce semináře jsou u části minulých přednášek ke stažení slajdy (pdf/pptx/html), archiv od roku 2008; videozáznamy nabízeny nejsou.","pasivní účast na všech seminářích, a to ve dvou různých semestrech","tezke - zápočet je čistě za účast a nelze ho ničím nahradit, navíc se musí nasbírat ve dvou semestrech","Čtvrtek 14:00, posluchárna S8, Malostranské nám. 2; termíny jednou za dva týdny. ZS 2026/27 (19. ročník) začíná 1. 10. přednáškou Isama Vrce, další 15. 10., 29. 10., 12. 11., 26. 11. Přednášejícími jsou hosté, jazyk anglický. Organizuje Martin Holeňa (KTIML + ÚI AV ČR).",http://ai.ms.mff.cuni.cz/~sui/ + SIS podmínky
NAIL100,http://ai.ms.mff.cuni.cz/~sui/,http://www.cs.cas.cz/~martin/,povinna,"SIS (Holeňa, 28.12.2022): „K získání zápočtu za tento předmět stačí pasivní účast na všech seminářích (s výjimkou omluvené neúčasti), avšak ve dvou různých semestrech. Tyto semestry nemusí být po sobě následující, může mezi nimi být i delší časový odstup.“",castecne,"Stránka semináře zveřejňuje u části přednášek slidy, např. „14. 5. | Noe Lallouet | Multi-objective Neural Architecture Design Using Monte Carlo Search | pdf“. Nahrávky nikde zmíněné nejsou.","pasivní účast na všech seminářích (kromě omluvené neúčasti), a to ve dvou různých semestrech - žádný referát ani úkol se nechce","nereálné - jediná podmínka zápočtu je docházka, a to dokonce ve dvou semestrech","0/1 Z, LS, Holeňa. Sesterský předmět k NAIL099 (ZS), který už v stranky.csv je - podmínka „ve dvou různých semestrech“ je u obou totožná, takže zápočet fakticky stojí na dvou semestrech docházky. Stránka: „Čtvrtek / Thursday 14:00, posluchárna / room S8, Malostranské náměstí 2“; společný seminář KTIML a oddělení UI ÚI AV ČR, přednášky jsou často zahraniční hosté a stážisté.",SIS NAIL100 + http://ai.ms.mff.cuni.cz/~sui/ (staženo 2026-08-29)
NAIL104,"https://ktiml.mff.cuni.cz/~marta/pgm.html (stránka kurzu) ; https://dl1.cuni.cz/course/view.php?id=4780 (Moodle, jen po přihlášení CAS)",https://ktiml.mff.cuni.cz/~marta/,doporucena,"Stránka kurzu ktiml.mff.cuni.cz/~marta/pgm.html: „Velmi doporučuji účast na přednáškách zoom a opakovací testy na Moodle.“ a „Kurz nemá cvičení.“ Zakončení je jen zkouškou (rozsah 2/0 Zk), za účast se tedy nic nesbírá — doporučení, ne podmínka.",castecne,"Nalezena veřejná stránka kurzu ktiml.mff.cuni.cz/~marta/pgm.html („Probabilistic Graphical Models – NAIL104“), sekce Pracovní materiály: „Jeden velký balík prezentací Slajdy obsahuje i rozšiřující témata.“ Odkaz vede na pgm.pdf (ověřeno HTTP 200, 1,3 MB), vedle toho PGMpresent.html a spreadsheety EM.ods, Id.xls, tygr.ods. Stránka dále vypisuje celý obsah přednášky a seznam otázek ke zkoušce. Nahrávky přednášek stránka nenabízí.","bez zápočtu; pouze ústní zkouška — stránka kurzu: „Přednáška je zakončena ústní zkouškou, po dohodě distanční formou, preferuji osobní.“","snadne - stránka kurzu vypisuje otázky ke zkoušce i celý obsah přednášky a nabízí balík slajdů (pgm.pdf); kurz nemá cvičení ani zápočet, jen ústní zkoušku","Táž vyučující jako NAIL029. Konzultace: středa 13:30–14:30, S303. Stránka kurzu pgm.html ale říká: „Velmi doporučuji účast na přednáškách zoom a opakovací testy na Moodle.“ a „Kurz nemá cvičení, na vyžádání můžeme některé přednášky věnovat interaktivním seznámení s knihovnami R“ — docházka je tedy doporučená, ne bezvýznamná, i když se za ni nic nedává (předmět nemá zápočet). Zmínky o Zoomu („Přednáška bude po dobu zakázané osobní výuky probíhat distančně“) jsou z covidové doby, stránka je zčásti neaktuální. Vedlejší nález: ktiml.mff.cuni.cz/~marta/prednasky/ je otevřený adresář s nahrávkami přednášek (m4v/zip, 1,6–3,5 GB, datumy 16. 2.–4. 5. 2026, pondělí 9:00) — to je letní semestr, tedy NE NAIL104 (zimní); NAIL104 se netýkají.","SIS podmínky + https://ktiml.mff.cuni.cz/~marta/pgm.html + https://ktiml.mff.cuni.cz/~marta/ + dl1.cuni.cz (kurz id=4780, uzavřený)"
NAIL105,http://www.cs.cas.cz/~martin/vyuka.html (sekce „Přednášky z předmětu NAIL105“),http://www.cs.cas.cz/~martin/,povinna,SIS: „Zápočet za účast na cvičeních a vypracování semestrální práce + následná zkouška. Získaný zápočet je podmínkou účasti na zkoušce.“,castecne,"Na výukové stránce Holeni je všech 6 témat přednášky jako PDF (ikm1, ikm2, nmr3, nmr4, ikm5, ikm6); videozáznamy nikde.",účast na (blokových) cvičeních + semestrální práce; zápočet je podmínkou zkoušky,tezke - zápočet je výslovně za účast na cvičeních a bez zápočtu se nelze přihlásit ke zkoušce,"SIS uvádí formu „přednáška + bloková cvičení“, rozsah 1/1, 2 kredity. Cvičení vede Vojtěch Bláha. Slajdy témat 3 a 4 jsou sdílené se sadou nmr* (viz NAIL138). Stránka upravena 13. 8. 2026.",SIS podmínky + http://www.cs.cas.cz/~martin/vyuka.html
NAIL106,https://ktiml.mff.cuni.cz/~pilat/cs/multiagentni-systemy/,https://ktiml.mff.cuni.cz/~pilat/ ; http://ktiml.mff.cuni.cz/~neruda/,neresi_se,"Pilát, „Požadavky na zápočet“: „Během semestru dostanete pět domácích úkolů... Za každý úkol bude možné získat až 10 bodů. Zápočet dostanete za získání alespoň 60 % možných bodů, tj. 30 bodů. Úkoly budete odezvdávat do sovy.“ Docházka mezi požadavky uvedená není; SIS jako podmínku zakončení uvádí jen „Ústní zkouška“.",castecne,Pilát: „Prezentace z přednášky jsou na stránkách Romana Nerudy. Materiály k mému cvičení v pátek budou zveřejňovány na této stránce.“ Nerudova stránka má u „MAS (NAIL106)“ veřejně „slajdy k přednášce [pdf]“ a „lecture notes in english [pdf]“. Nahrávky nikde.,"5 domácích úkolů po 10 b (teoretické i praktické - agent/tým agentů do soutěže, praktické často v týmech 3-4 lidí), odevzdání do systému sova (owl.mff.cuni.cz), zápočet od 30 bodů","snadné - slidy i anglické lecture notes jsou veřejné, úkoly se odevzdávají elektronicky, zkouška je ústní","2/2 Z+Zk, LS, Neruda (přednáška) + Pilát (cvičení, pátek česky / úterý anglicky). Témata cvičení: vězňovo dilema, AgentSpeak (i turnaj), ontologie a deskripční logiky, SPARQL, aukce, komunikační protokoly, multiagentní zpětnovazební učení. Moodle dl1 ani dl2 kurz nemají.",https://ktiml.mff.cuni.cz/~pilat/cs/multiagentni-systemy/ a http://ktiml.mff.cuni.cz/~neruda/ (staženo 2026-08-29) + SIS NAIL106
NAIL107,"https://dl1.cuni.cz/course/view.php?id=4101 (Moodle, jen po přihlášení CAS)",https://ksvi.mff.cuni.cz/~mraz/,bodovana,SIS: „Na cvičeních lze získat dodatečné body za předvedení řešení úkolu zadaného na cvičení - 1 bod.“ Zápočet dále vyžaduje „vypracovat a přednést řešení projektu na jednom z posledních cvičení nebo v termínu prezentací v zkouškovém období“.,nezjisteno,"Moodle kurz existuje (dl1.cuni.cz id=4101, „NAIL107 Strojové učení v bioinformatice … Toto je kurz k přednášce NAIL107“, Teacher: František Mráz), ale bez přihlášení vrací jen „Tento server je dostupný pro studenty a učitele Univerzity Karlovy“ a hostovský přístup nenabízí. Osobní stránka Mráze (patička 19. 10. 2016) vypisuje v „Lectures, seminaries“ jen NAIL002, NTIN084, TIN017, TIN046, AIL065 a DBI023 — NAIL107 v seznamu není. Jeho veřejné podadresáře (atns = NAIL013, nn = NAIL002, bioinf = „Bioinformatické algoritmy TIN084“, datamining = NDBI023, EvoRob, paralg, pasa, programming, automatatheory, grant1, swprojects, publications; seznam z archivu web.archive.org) žádný k NAIL107 neobsahují a ručně zkoušené názvy (ml/, mlb/, mlbio/, bioml/, mlbi/, ml107/, nail107/, strojove/…) vracejí 404. Doklad ani pro „ano“, ani pro „ne“.","2 úkoly (Jupyter notebook) v Moodlu, každý ≥1 b, + prezenčně přednesený projekt","stredni - přednášku lze dohnat, ale projekt se musí přednést osobně a náhradní termíny zápočtu se nevypisují","Body ze cvičení tvoří 40 % známky, zkouška 60 %. 2 on-line testy po 5 b nejsou podmínkou zápočtu. Pozdní odevzdání −1 b/týden. „Získání zápočtu vyžaduje průběžnou práci přes celý semestr, a proto žádné náhradní termíny pro získání zápočtu nebudou vypsány.“","SIS podmínky + https://ksvi.mff.cuni.cz/~mraz/ (včetně výpisu podadresářů z web.archive.org) + dl1.cuni.cz (kurz id=4101, uzavřený)"
NAIL109,https://ktiml.mff.cuni.cz/~pilat/cs/amvi/,https://ktiml.mff.cuni.cz/~pilat/ ; http://ktiml.mff.cuni.cz/~neruda/,povinna,"Pilát, „Požadavky na zápočet“: „Zápočet dostanete za skupinovou práci na semináři. Představa je taková, že budete pracovat v malých skupinkách (2-3 lidi) a každá skupinka bude mít několikrát za semestr krátkou (cca 5 minut) prezentaci o tom, co se jim podařilo pomocí metod probíraných v poslední době na cvičeních.“ + SIS: „Podmínkou pro zakončení předmětu je získání zápočtu, který je udělován za prezentaci skupinových projektů vypracovaných na semináři.“",castecne,Pilát: „Zdrojové kódy k jednotlivým lekcím semináře najdete na GitHubu. Lze tam přímo prohlížet i jednotlivé notebooky s poznámkama a obrázkama.“ (o nahrávkách stránka nic neuvádí),"skupinová práce na semináři ve skupinkách 2-3 lidí + několik cca 5min prezentací výsledků za semestr; žádné body, žádná zkouška (0/4 Z)",nereálné - celý předmět je 4 h semináře týdně a zápočet stojí na opakovaných prezentacích ve skupině přímo na semináři,"Rozsah 0/4, jen zápočet, 5 kr, vyučují Neruda + Pilát; sylabus je „aplikace na reálná data z různých aktuálních soutěží (Kaggle...)“. Moodle dl1 ani dl2 kurz nemají („Nebyly nalezeny žádné kurzy obsahující NAIL109“). Anotace i sylabus v SIS naposledy upraveny 2015.","https://ktiml.mff.cuni.cz/~pilat/cs/amvi/ (staženo 2026-08-29) + SIS NAIL109 (podmínky zakončení, Pilát 13.10.2017)"
NAIL116,"https://dl1.cuni.cz/course/view.php?id=8069 (Moodle, jen po přihlášení CAS)",https://ktiml.mff.cuni.cz/~mrazova/ ; https://ksvi.mff.cuni.cz/~mraz/,bodovana,SIS: „Dále se bude v rámci přednášky psát písemný test. Datum konání testu bude vypsáno na začátku semestru… Písemný test přispěje 15% k celkovému hodnocení.“ Plus: „Na cvičeních lze získat dodatečné body za předvedení řešení úkolu zadaného na cvičení — 1 bod.“,nezjisteno,"Moodle kurz existuje (dl1.cuni.cz id=8069, „NAIL116 Sociální sítě a jejich analýza“, Teacher: František Mráz, Iveta Mrázová), ale bez přihlášení vrací jen přihlašovací stránku a hostovský přístup nenabízí. Na Mrázově serveru podadresář ksvi.mff.cuni.cz/~mraz/sna/ (= social network analysis) EXISTUJE — vrací HTTP 403, zatímco neexistující jméno vrací 404 — ale nemá index.html ani povolený výpis, takže je zvenčí nepřístupný a ve web.archive.org z něj není archivován jediný soubor. Stránka Mrázové (2. 5. 2010) je starší než předmět a nic k němu nemá. Doklad ani pro „ano“, ani pro „ne“ tedy neexistuje.",1 úkol (Jupyter notebook) v Moodlu ≥1 b + prezenčně přednesený projekt,"stredni - jde o jediný úkol, ale písemný test se píše prezenčně na přednášce a projekt se musí přednést","Cvičení 40 % známky, písemný test na přednášce 15 %, zkouška 45 %. 2 on-line testy (dohromady 10 b) nejsou podmínkou zápočtu. Pozdní odevzdání −1 b/týden, náhradní termíny zápočtu se nevypisují. Přednáška 1× týdně.","SIS podmínky + https://ksvi.mff.cuni.cz/~mraz/ (podadresář sna/ = HTTP 403) + https://ktiml.mff.cuni.cz/~mrazova/ + dl1.cuni.cz (kurz id=8069, uzavřený)"
NAIL138,"nenalezeno (slajdy: http://www.cs.cas.cz/~martin/vyuka.html, nmr1–nmr6.pdf)",http://www.cs.cas.cz/~martin/ (výuka: http://www.cs.cas.cz/~martin/vyuka.html),nezjisteno,,castecne,"Slajdy k přednášce jsou veřejné bez přihlášení na výukové stránce Holeni. Titulní strana nmr1.pdf: „Neural networks, machine learning and randomness / Preliminaries: recalling what you already know / Optional course for master students / Martin Holeňa“ — to je doslovný anglický název NAIL138. Nadpisy témat na stránce („Téma 2: Umělé neuronové sítě založené na náhodnosti“ … „Téma 6: Strojové učení a neuronové sítě jako podpora stochastické optimalizace“) se v pěti z šesti případů znak po znaku shodují se sylabem NAIL138 v SIS. Šest PDF ověřeno HTTP 200. Slajdy jsou anglicky, přestože SIS uvádí jazyk výuky čeština. Nahrávky přednášek se nezmiňují nikde.",nezjisteno,"nezjisteno - slajdy nmr1–nmr6 pokrývají celý sylabus, ale podmínky zápočtu nejsou nikde uvedené a cvičení se domlouvá individuálně, takže nejde odhadnout, co se dá dohnat samostudiem","Pole „Podmínky zakončení předmětu“ je v SIS prázdné. Rozvrhové lístky ZS 2026/27 existují dva (26aNAIL138p1 přednáška, 26aNAIL138x01 cvičení, oba 13 týdnů po 45 min, Holeňa), ale mají prázdný den, čas i místnost → výuka po individuální domluvě. Hledáno 2026-08-29: dl1.cuni.cz („Nebyly nalezeny žádné kurzy obsahující ‚NAIL138‘“, totéž pro „Holeňa“), dl2.cuni.cz (totéž), ktiml.mff.cuni.cz (~holena/ i vyuka.php → 404), cs.cas.cz/~martin/ (odkazuje jen na publications, studenti a vyuka; kód NAIL138 se nikde nevyskytuje), webové vyhledávání, anketa (0 řádků). Sesterský předmět na FIT ČVUT NI-NMS (týž název, týž přednášející, doslova týž sylabus) má kolonku „Požadavky:“ také prázdnou a portál courses.fit.cvut.cz/NI-NMS je za OAuth ČVUT. Docházka a podmínky zápočtu tedy zůstávají nezjištěné — před zápisem napsat Holeňovi (martin@cs.cas.cz).",http://www.cs.cas.cz/~martin/vyuka.html + nmr1.pdf + SIS anotace/sylabus NAIL138 + CSV rozvrhu SIS ZS 2026/27 + dl1/dl2.cuni.cz (negativní) + bilakniha.cvut.cz NI-NMS (kontext)
