okruh,tema,kod,sila,doklad
NS,Stochastické modely neuronových sítí,NAIL002,castecne,"Hopfieldův model, spojitý Hopfieldův model, simulované žíhání, Boltzmannův stroj."
NS,Sítě s učením bez učitele,NAIL002,hlavni,"5. Samoorganizace a hybridní modely · Posilované učení bez učitele - Ojův algoritmus učení pro PCA. · Kohonenovy samoorganizační mapy a algoritmy pro jejich učení, laterální inhibice, topologické okolí."
NS,Sítě s učením bez učitele,NAIL015,castecne,"Kohonenovy mapy, Hopfieldova síť."
NS,Sítě s učením bez učitele,NDBI023,okrajove,"Klastrování založené na principu fuzzy množin (FCM-algoritmus), neuronový přístup a hierarchické klastrování."
NS,"Modulární, hierarchické a hybridní modely",NAIL002,hlavni,"Algoritmus vstřícného šíření (Counter-propagation), RBF-sítě, adaptivní rezonance (ART). · Kaskádová korelace a modulární neuronové sítě - sítě lokálních expertů."
NS,"Modulární, hierarchické a hybridní modely",NAIL138,okrajove,hierarická BNN
NS,"Modulární, hierarchické a hybridní modely",NAIL086,okrajove,"Evoluční učení vah, hybridní přístupy."
NS,Konvoluční neuronové sítě,NPFL138,hlavni,"Konvoluční neuronové sítě · Konvoluční a slučující (pooling) vrstvy · Architektury vhodné pro velmi hluboké konvoluční sítě · Modely pro rozpoznávání obrazu, detekci objektů a segmentaci obrazu"
NS,Konvoluční neuronové sítě,NAIL138,okrajove,Znáhodněné konvoluční neuronové sítě.
NS,Sítě typu DBN,NAIL002,okrajove,"simulované žíhání, Boltzmannův stroj"
NS,Sítě typu DBN,NAIL138,okrajove,Dropout v boltzmannovských strojích a v lineární regresi.
NS,LSTM sítě,NPFL138,hlavni,Rekurentní neuronové sítě · Základní rekurentní sítě a problémy jejich trénování · Long short-term memory · Gated recurrent units · Obousměrné a hluboké rekurentní sítě
NS,LSTM sítě,NAIL138,okrajove,ESN (echo state network) sítě. Vývoj aktivity v ESN sítích.
NS,Evoluční učení neuronových sítí,NAIL086,hlavni,"Genetické učení neuronových sítí. Vnitřní reprezentace, evoluce topologií. Evoluční učení vah, hybridní přístupy. Funkční ekvivalence sítí. Evoluce v procesu učení sítě."
NS,Evoluční učení neuronových sítí,NAIL013,hlavni,3. Použití genetických algoritmů v oblasti neuronových sítí · Aplikace neuronových sítí typu zpětného šíření při formulaci a vyhodnocování cílové funkce genetických algoritmů. · Optimalizace architektury neuronových sítí pomocí genetických algoritmů.
NS,Evoluční učení neuronových sítí,NAIL002,castecne,Aplikace genetických algoritmů v oblasti umělých neuronových sítí.
NS,Evoluční učení neuronových sítí,NAIL099,okrajove,"Samoorganizující mapy, kombinování neuronových sítí a evolučních algoritmů."
DZ,Základní paradigmata dobývání znalostí,NDBI023,hlavni,"Motivace a význam dobývání znalostí v praxi, přehled základních úloh z oblasti dobývání znalostí. Metodiky pro řešení úloh z oblasti dobývání znalostí."
DZ,Základní paradigmata dobývání znalostí,NAIL116,okrajove,Časté transformace založené na znalosti (pod)struktury a dobývání znalostí z grafů
DZ,Příprava dat,NDBI023,hlavni,"Pořizování, příprava a předzpracování dat – vzorkování, variabilita a věrohodnost, diskretizace numerických atributů a zpracování nenumerických proměnných, náhrada chybějících a prázdných hodnot, řadové proměnné."
DZ,Příprava dat,NAIL107,castecne,1. Předzpracování dat.
DZ,Příprava dat,NAIL116,castecne,"Popis dat a modelů, předzpracování textu a webových stránek, modely pro grafová data"
DZ,Výběr atributů a analýza relevance,NDBI023,hlavni,"Transformace, redukce a čištění dat – vztahy mezi veličinami (odhad vzájemné podobnosti vzorů, testování hypotéz, korelační, regresní, diskriminační a shluková analýza), redukce dimenzionality."
DZ,Výběr atributů a analýza relevance,NAIL002,okrajove,"Výběr a uspořádání příznaků, výběr a uspořádání trénovacích vzorů."
DZ,Výběr atributů a analýza relevance,NAIL138,okrajove,Výběr modelu. Výběr příznaků. Míry kvality modelu.
DZ,Asociační pravidla,NDBI023,hlavni,"Metody pro dobývání asociačních pravidel · Analýza nákupního košíku – časté položky, asociační pravidla, jejich formulace a základní charakteristiky. · Generování kombinací – algoritmus apriori, techniky ""nárůstu častých vzorů"" (FP-Growth a TD-FP-Growth), kombinační analýza dat."
DZ,Asociační pravidla,NAIL029,castecne,učení bez učitele - nákupní košík (Apriori alg.)
DZ,Asociační pravidla,NAIL099,okrajove,Asociační a klasifikační pravidla.
DZ,Učení s učitelem v dobývání znalostí,NDBI023,hlavni,"Metody pro klasifikaci a predikci dat · Rozhodovací stromy a jejich indukce – algoritmy ID3, C4.5, CART a CHAID. · Pravděpodobnostní klasifikátory – Bayesovské modely a techniky pro jejich učení a inferenci."
DZ,Učení s učitelem v dobývání znalostí,NAIL105,hlavni,"Téma 3. Hlavní typy klasifikačních metod. Rozdělení klasifikačních metod podle toho, zda hledají hranice mezi třídami."
DZ,Učení s učitelem v dobývání znalostí,NAIL029,castecne,"rozhodovací stromy, prořezávání, chybějící hodnoty, · kombinace modelů (AdaBoost, random forest)"
DZ,Učení s učitelem v dobývání znalostí,NAIL107,castecne,2. Jak porovnávat algoritmy učení.
DZ,Klastrová analýza,NDBI023,hlavni,"Metody pro klastrovou analýzu · k-means algoritmus, volba vhodné metriky, vyhodnocení výsledků (klastrová validita), reprezentace a vizualizace detekovaných klastrů."
DZ,Klastrová analýza,NAIL107,castecne,"4. Metody učení bez učitele: shluková analýza (klastrování dělením, k-means, hierarchické klastrování, validace klastrování) a jeji aplikace v bioinformatice."
DZ,Klastrová analýza,NAIL029,castecne,"klastrování k-means, k-medoids, hierarchické"
DZ,Klastrová analýza,NAIL116,okrajove,Klastrování a klasifikace grafů
DZ,Klastrová analýza,NPFL103,okrajove,Shlukování dokumentů
DZ,Diskriminační pravidla a jejich zajímavost,NDBI023,castecne,"Vyhledávání zajímavých pravidel pomocí omezeného dobývání (specifikace časových údajů, položek ap.)."
DZ,Diskriminační pravidla a jejich zajímavost,NAIL099,okrajove,"Učení pravidel z dat, učení booleovských a fuzzy pravidel."
DZ,Diskriminační pravidla a jejich zajímavost,NAIL025,okrajove,"Evoluce expertních systémů, vnitřní reprezentace, Michiganský vs. Pittsburgský přístup."
DZ,"Reprezentace, vyhodnocení a vizualizace znalostí",NDBI023,hlavni,"Vyhodnocování získaných výsledků – křížová validace, celková správnost, matice záměn, křivka učení, křivka navýšení a křivka ROC, kombinování modelů (bagging, boosting)."
DZ,"Reprezentace, vyhodnocení a vizualizace znalostí",NAIL105,castecne,"Specifické charakteristiky kvality binární klasifikace: správnost, přesnost, citlivost, specificita, F-míra, ROC křivka a plocha pod ní."
DZ,"Reprezentace, vyhodnocení a vizualizace znalostí",NAIL099,okrajove,"Vizualizace dat, vizualizace modelů zkonstruovaných na základě dat."
DZ,"Reprezentace, vyhodnocení a vizualizace znalostí",NAIL138,okrajove,Míry kvality modelu. Interpretovatelnost a vysvětlitelnost.
DZ,Míry centrality,NAIL116,hlavni,"Přístupy pro analýzu sociálních sítí: Úvod a základní vlastnosti, míry pro centralitu a prestiž"
DZ,Detekce komunit,NAIL116,hlavni,"Vyhledávání komunit: algoritmus Kernighan-Lina a jeho analýza, klastrovací algoritmy, prolínající se komunity"
DZ,Praktické využití dobývání znalostí,NDBI023,hlavni,"Součástí kurzu bude i jednoduchý projekt s využitím metod pro dobývání znalostí v praxi, především v oblasti ekonomie a WWW, ale i dalších."
DZ,Praktické využití dobývání znalostí,NAIL116,hlavni,Součástí přednášky/cvičení bude návrh jednoduché aplikace umožňující hlubší pochopení problematiky sociálních sítí a přístupů vhodných pro jejich analýzu.
DZ,Praktické využití dobývání znalostí,NAIL105,castecne,"V rámci předmětu se student seznámí s klasifikačními metodami používanými ve třech důležitých internetových nebo obecně síťových aplikacích: při filtraci spamu, v doporučovacích systémech a v systémech pro odhalení hrozeb v síti."
DZ,Praktické využití dobývání znalostí,NAIL107,castecne,"Přednáška je doplněná cvičením, kde se budou metody z přednášky aplikovat na umělá ale i na reálná biologická data."
